path,classification,reference_exists,generated_exists,duplicate_count,comparison_enabled,reason
JP/ShareCfg/dorm3d_ins_language.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ins_npc_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ins_player_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ins_redpackage.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ins_ship_group_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ins_telephone_group.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ins_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ins_unlock.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_minigame.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_minigame_slide.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_recall.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_resource.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_rooms.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_scene_animator.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_set.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_shop_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_slide_command.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_stocking.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_stocking_trigger.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_subtitle.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_teleport.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_timeline_dynamic_binding.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_touch_data.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_volleyball.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_welcome.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_zone_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm_data_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/draw_data_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/drop_data_restore.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/effect_offset.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/emoji_small_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/emoji_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/enemy_data_by_type.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/enemy_data_skill.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/enemy_data_statistics.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/energy_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/equip_bullet_type.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/equip_data_by_quality.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/equip_data_by_type.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/equip_data_code.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/equip_data_statistics.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/equip_data_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/equip_skin_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/equip_skin_theme_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/equip_upgrade_data.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/equip_upgrade_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/error_message.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/escort_map_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/escort_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/expedition_activity_template.json,lua_derived,true,true,0,true,JP reference data
